client_id,attrition_flag,months_on_book,products_num_held_by_client,inactive_months_in_last_year,contacts_in_last_year,average_open_to_buy_credit_line,total_transaction_amount_change_q4_q1,total_transaction_amount_last_year,total_transaction_count_last_year,total_trasaction_count_change_q4_q1,average_card_utilazation_ratio
708319908,Attrited Customer,17,1,1,2,2643.0,1.023,8667.0,70,1,0.358
708323208,Attrited Customer,36,4,2,4,1522.0,0.482,2241.0,36,1,0.0
708324483,Existing Customer,39,3,3,4,1548.0,0.664,4420.0,71,1,0.0
708330858,Attrited Customer,38,2,3,3,6868.0,0.798,678.0,11,1,0.167
708331758,Existing Customer,35,3,1,4,30601.0,1.127,3725.0,60,1,0.057
708332808,Existing Customer,39,2,2,2,3471.0,0.871,14381.0,115,1,0.0
708334158,Existing Customer,34,4,2,4,9177.0,0.581,3068.0,58,1,0.07
708337683,Existing Customer,40,4,2,2,20907.0,0.445,3820.0,62,1,0.041
708338958,Existing Customer,36,5,1,1,1460.0,0.609,3797.0,75,1,0.54
708340758,Attrited Customer,32,2,3,3,7769.0,0.943,8109.0,74,1,0.0
708341958,Existing Customer,21,2,2,3,157.0,0.786,4480.0,86,1,0.924
708344358,Existing Customer,45,5,1,3,1141.0,0.623,1311.0,31,0,0.543
708347583,Existing Customer,36,4,1,4,1365.0,0.692,1804.0,38,1,0.456
708354858,Attrited Customer,42,2,4,2,14938.0,0.758,8192.0,80,1,0.0
708355683,Existing Customer,38,3,2,3,16815.0,0.938,2976.0,65,1,0.0
708357183,Existing Customer,38,4,2,3,1438.3,1.001,3511.0,64,1,0.0
708358683,Existing Customer,35,6,3,2,33280.0,0.549,1665.0,40,1,0.036
708360108,Existing Customer,41,3,1,1,1462.0,0.818,4869.0,90,1,0.478
708361833,Existing Customer,36,3,2,3,19430.0,1.012,3650.0,80,1,0.0
708367908,Existing Customer,47,6,1,2,1395.0,0.835,4390.0,82,1,0.538
708369633,Attrited Customer,36,6,3,2,13640.0,0.943,7031.0,67,1,0.119
708371733,Existing Customer,15,1,1,2,4662.0,0.661,4931.0,81,1,0.0
708373083,Attrited Customer,30,1,3,4,839.0,0.583,2032.0,39,0,0.75
708375858,Existing Customer,36,5,4,2,1435.0,0.744,4318.0,68,1,0.483
708376983,Attrited Customer,50,5,2,2,7714.0,0.451,2119.0,37,1,0.094
708378108,Existing Customer,36,5,3,2,1376.0,0.69,4631.0,76,1,0.359
708382083,Existing Customer,36,6,2,2,2292.0,0.976,2584.0,60,1,0.0
708384033,Attrited Customer,35,3,3,3,282.0,0.643,2466.0,39,0,0.897
708385533,Attrited Customer,36,2,3,3,11059.0,0.99,9524.0,80,1,0.0
708386958,Attrited Customer,34,3,3,2,1561.0,0.502,1947.0,28,1,0.0
708387933,Existing Customer,37,2,1,2,5500.0,0.675,14357.0,110,1,0.0
708390633,Existing Customer,44,5,5,3,109.0,0.674,4219.0,69,1,0.955
708393633,Existing Customer,31,4,2,4,1038.0,0.812,4625.0,94,1,0.613
708394908,Existing Customer,33,5,1,3,895.0,0.659,3945.0,65,1,0.617
708396033,Existing Customer,27,1,2,2,1431.0,0.715,12257.0,101,1,0.425
708397008,Existing Customer,43,3,2,3,2984.0,0.807,4326.0,67,1,0.216
708398283,Existing Customer,29,5,2,2,3509.0,1.04,1377.0,32,1,0.201
708399858,Existing Customer,35,2,2,1,298.0,0.581,4747.0,77,1,0.883
708402333,Existing Customer,37,6,2,0,3236.0,0.777,4782.0,88,1,0.289
708403308,Existing Customer,24,3,1,3,13470.0,0.646,4392.0,68,1,0.11
708404883,Existing Customer,37,4,2,4,27804.0,1.301,2761.0,57,1,0.0
708406083,Existing Customer,24,5,3,1,943.0,0.824,5211.0,90,1,0.726
708412758,Attrited Customer,36,5,2,3,1457.0,0.677,2200.0,45,0,0.0
708414033,Existing Customer,38,6,3,3,1692.0,0.836,3730.0,66,1,0.405
708416433,Attrited Customer,36,4,3,2,2372.0,0.597,2499.0,41,0,0.0
708419733,Attrited Customer,39,5,3,2,22599.0,1.039,4739.0,55,0,0.0
708421833,Existing Customer,36,6,3,2,825.0,0.771,1139.0,30,1,0.753
708423933,Existing Customer,40,3,2,0,6103.0,0.532,3203.0,64,1,0.0
708426483,Existing Customer,36,4,6,1,5100.0,0.923,3534.0,73,1,0.123
708427908,Existing Customer,39,6,3,1,692.0,0.835,4643.0,86,1,0.66
708428958,Existing Customer,33,1,3,2,34516.0,0.724,9179.0,113,1,0.0
708431433,Existing Customer,31,3,3,2,10369.0,0.659,1463.0,32,1,0.12
708433683,Existing Customer,37,3,2,3,963.0,0.679,4410.0,86,1,0.696
708434733,Existing Customer,50,6,3,3,4446.0,0.661,1249.0,28,1,0.34
708438033,Existing Customer,27,3,3,4,851.0,1.546,2617.0,48,1,0.721
708442158,Existing Customer,38,3,2,4,4666.0,1.137,3801.0,61,1,0.245
708445608,Existing Customer,37,4,3,3,788.0,0.766,2027.0,57,1,0.762
708446808,Existing Customer,36,4,3,2,1587.0,0.746,2017.0,48,0,0.461
708447858,Existing Customer,36,6,3,2,3850.0,0.509,15107.0,117,1,0.0
708450033,Existing Customer,13,6,2,1,336.0,0.881,5298.0,79,1,0.871
708451233,Existing Customer,36,5,3,4,3440.0,0.58,3707.0,72,0,0.324
708453408,Existing Customer,31,6,2,3,16050.0,0.77,3721.0,62,1,0.0
708455883,Attrited Customer,36,2,3,2,9383.0,0.78,1127.0,29,0,0.084
708459633,Existing Customer,26,4,1,3,4117.0,0.896,1604.0,42,0,0.292
708462258,Existing Customer,38,1,1,2,4018.0,0.732,16563.0,94,1,0.226
708469533,Existing Customer,34,6,3,2,3956.0,0.781,3523.0,79,1,0.267
708472008,Existing Customer,36,2,3,3,4841.0,0.617,7632.0,95,1,0.275
708473133,Existing Customer,45,4,2,3,1677.0,0.824,4588.0,68,1,0.0
708474333,Existing Customer,29,3,3,1,9777.0,0.775,7906.0,87,1,0.205
708476808,Existing Customer,36,6,3,2,31831.0,0.618,1047.0,31,1,0.058
708478233,Existing Customer,36,4,2,2,4335.0,0.624,4348.0,90,1,0.222
708480333,Existing Customer,36,5,2,3,1231.0,1.127,2229.0,57,1,0.431
708482658,Existing Customer,31,3,2,2,8013.0,0.725,15594.0,114,1,0.195
708483708,Existing Customer,36,5,3,2,28600.0,0.506,4336.0,66,1,0.0
708486033,Existing Customer,36,3,2,3,15026.0,0.555,1782.0,48,0,0.092
708488208,Existing Customer,47,5,3,3,593.0,1.181,2231.0,58,1,0.764
708489258,Existing Customer,27,5,3,3,450.3,0.556,3561.0,72,1,0.687
708491508,Existing Customer,42,3,3,2,12476.0,0.772,3856.0,68,1,0.103
708492558,Existing Customer,36,5,3,3,14223.0,0.939,1107.0,21,2,0.057
708494583,Existing Customer,36,4,1,3,1902.0,0.693,3731.0,53,1,0.0
708496833,Attrited Customer,50,4,4,5,4613.0,0.978,8970.0,78,1,0.0
708498033,Attrited Customer,36,3,4,6,442.0,0.853,2789.0,52,1,0.806
708499608,Existing Customer,36,6,1,2,14226.0,0.452,4042.0,78,1,0.084
708500883,Existing Customer,40,2,3,2,17812.0,0.75,8379.0,106,1,0.0
708501783,Attrited Customer,36,6,2,4,33039.0,0.324,1868.0,40,0,0.043
708502908,Existing Customer,48,5,2,3,26218.0,0.74,3925.0,88,1,0.0
708504783,Existing Customer,36,3,3,3,9627.0,0.678,3480.0,62,1,0.122
708506508,Existing Customer,43,5,3,2,1740.0,0.783,4887.0,90,1,0.397
708507483,Existing Customer,31,6,4,3,1477.0,0.756,4802.0,82,1,0.0
708508758,Attrited Customer,49,2,3,3,1438.3,1.047,692.0,16,1,0.0
708510858,Existing Customer,47,1,3,2,2492.0,0.853,15478.0,109,1,0.492
708511983,Existing Customer,18,5,3,2,1663.0,0.778,3950.0,82,1,0.0
708513183,Existing Customer,29,4,2,2,3056.0,1.102,3078.0,58,1,0.293
708514383,Existing Customer,29,2,1,0,2637.0,0.9,4314.0,81,1,0.308
708515358,Existing Customer,36,6,3,2,4712.0,0.84,4216.0,82,1,0.0
708516558,Existing Customer,36,3,2,1,806.0,0.546,4159.0,83,1,0.689
708519108,Attrited Customer,24,3,3,2,1118.0,0.494,2041.0,57,1,0.585
708522033,Existing Customer,36,2,2,1,10635.0,0.879,15060.0,90,1,0.135
708525108,Existing Customer,47,4,3,3,1022.0,0.669,4120.0,77,1,0.526
708528483,Existing Customer,23,6,3,2,757.0,0.617,1387.0,33,1,0.762
708532308,Existing Customer,36,4,2,2,8902.0,1.211,3000.0,70,1,0.22
708534033,Existing Customer,36,5,2,2,5391.0,0.626,4726.0,82,1,0.141
708535158,Existing Customer,29,1,1,3,8458.0,0.822,8505.0,86,1,0.151
708536283,Attrited Customer,27,3,2,2,387.0,0.624,2653.0,46,1,0.867
708538608,Existing Customer,36,6,4,3,3862.0,0.578,4058.0,81,1,0.0
708539583,Existing Customer,25,6,1,3,17665.0,0.672,3979.0,63,1,0.112
708542283,Existing Customer,47,5,3,4,434.0,0.849,4399.0,70,1,0.826
708543258,Existing Customer,36,5,3,2,727.0,1.464,2045.0,39,1,0.721
708545058,Existing Customer,36,5,4,3,452.3,0.649,5136.0,81,1,0.686
708549033,Existing Customer,32,4,1,3,779.0,0.869,5025.0,70,1,0.621
708551508,Existing Customer,37,4,4,2,756.0,0.887,4966.0,78,1,0.768
708553008,Existing Customer,36,1,2,3,1045.0,0.602,4711.0,64,1,0.514
708555633,Existing Customer,16,2,3,1,1031.0,0.818,15157.0,97,1,0.709
708557358,Existing Customer,28,4,2,3,20802.0,0.69,1911.0,55,1,0.061
708558408,Existing Customer,31,5,3,3,8352.0,0.659,3776.0,83,1,0.161
708559533,Existing Customer,36,6,3,2,1186.0,0.706,4442.0,83,1,0.33
708560733,Existing Customer,36,5,2,3,1197.0,0.857,4715.0,85,1,0.678
708563433,Attrited Customer,56,3,6,3,5417.0,1.015,1616.0,32,0,0.081
708564858,Attrited Customer,20,2,1,4,34516.0,1.004,9338.0,73,1,0.0
708568983,Existing Customer,28,2,3,1,9111.0,0.65,8110.0,113,1,0.206
708572658,Existing Customer,38,1,1,2,27443.0,0.843,15039.0,120,1,0.071
708573933,Existing Customer,36,2,2,3,12237.0,0.74,14747.0,100,1,0.061
708575058,Attrited Customer,39,2,3,2,2192.0,0.928,3300.0,58,1,0.306
708577308,Existing Customer,36,4,2,3,1365.0,0.728,1569.0,39,1,0.482
708579633,Existing Customer,28,4,2,2,22193.0,0.631,1421.0,34,0,0.075
708580908,Existing Customer,37,3,3,3,12034.0,0.92,1373.0,35,1,0.173
708582858,Existing Customer,25,3,3,4,18293.0,0.571,2958.0,63,0,0.0
708584208,Attrited Customer,36,5,2,4,594.0,0.646,2367.0,41,1,0.809
708585933,Existing Customer,36,6,2,3,227.0,0.777,4258.0,77,1,0.863
708588408,Existing Customer,36,6,2,2,5229.0,0.524,4421.0,74,1,0.235
708590658,Existing Customer,53,5,3,2,13653.0,0.59,1619.0,40,1,0.145
708593883,Existing Customer,26,3,1,4,1158.0,0.943,1813.0,38,1,0.576
708595158,Existing Customer,36,6,1,2,79.0,0.994,2389.0,43,1,0.953
708596283,Existing Customer,23,3,2,2,1607.0,0.576,2844.0,73,1,0.438
708597558,Existing Customer,36,4,4,3,2542.0,0.524,3951.0,68,1,0.238
708600033,Existing Customer,39,4,3,1,1610.0,0.689,4958.0,87,1,0.0
708602283,Existing Customer,36,3,3,1,2887.0,0.581,3941.0,82,1,0.0
708606633,Attrited Customer,44,6,3,4,1544.0,0.315,1902.0,35,0,0.0
708611733,Existing Customer,33,4,4,3,1791.0,0.967,4659.0,82,1,0.426
708614058,Existing Customer,45,4,2,4,270.0,0.63,3870.0,67,1,0.862
708615183,Existing Customer,34,4,4,4,2682.0,0.681,4558.0,90,1,0.299
708618933,Existing Customer,13,6,3,2,2320.0,0.865,3259.0,80,1,0.469
708620283,Existing Customer,25,6,3,2,4052.0,0.743,2208.0,59,1,0.331
708621408,Existing Customer,28,3,2,1,1438.3,0.799,4173.0,82,1,0.0
708623283,Existing Customer,16,6,3,2,18278.0,0.798,2084.0,61,1,0.0
708626058,Existing Customer,34,6,2,4,3777.0,1.025,4098.0,68,1,0.279
708633783,Attrited Customer,30,3,2,4,11336.0,0.691,1809.0,39,0,0.0
708635058,Existing Customer,44,4,1,1,1018.0,0.695,4798.0,85,1,0.465
708637758,Existing Customer,37,4,3,4,16800.0,0.905,3523.0,64,1,0.031
708642708,Attrited Customer,36,3,2,3,13019.0,0.487,1484.0,33,0,0.0
708644208,Existing Customer,34,5,2,4,5858.0,0.853,3355.0,77,1,0.0
708646233,Existing Customer,36,3,2,1,15827.0,0.559,3632.0,50,1,0.075
708649683,Existing Customer,42,1,3,2,15563.0,0.555,15472.0,122,1,0.068
708651933,Existing Customer,44,3,1,2,115.0,0.791,2311.0,57,1,0.944
708652908,Existing Customer,36,1,6,1,872.0,0.725,4498.0,81,1,0.619
708653958,Attrited Customer,36,5,2,2,4653.0,0.772,2608.0,36,0,0.239
708654933,Attrited Customer,42,3,2,3,15794.0,0.435,2021.0,46,0,0.012
708655983,Existing Customer,40,3,3,2,5267.0,0.442,1353.0,24,0,0.0
708657033,Existing Customer,54,5,3,2,771.0,0.714,3837.0,71,1,0.714
708660408,Attrited Customer,36,4,2,4,48.0,0.644,2459.0,43,1,0.972
708662583,Attrited Customer,29,1,3,4,27945.0,0.902,8345.0,70,1,0.0
708664008,Existing Customer,45,6,3,4,14270.0,0.398,1222.0,37,0,0.0
708665133,Existing Customer,28,6,2,3,2482.0,0.938,4003.0,67,1,0.321
708666258,Existing Customer,36,5,3,0,6330.0,0.566,1402.0,33,1,0.221
708668283,Existing Customer,22,5,4,2,2623.0,0.876,1842.0,36,1,0.49
708669408,Existing Customer,45,6,1,3,20401.0,0.723,4637.0,75,1,0.0
708670608,Existing Customer,36,4,2,3,3295.0,0.696,5125.0,85,1,0.4
708671733,Existing Customer,36,2,3,3,573.0,0.598,4091.0,71,1,0.723
708672708,Existing Customer,31,2,3,3,31999.0,0.71,3990.0,65,1,0.073
708679383,Existing Customer,32,5,1,3,3075.0,0.667,1775.0,55,1,0.366
708680583,Existing Customer,36,4,1,2,453.0,0.618,4940.0,68,1,0.778
708681708,Attrited Customer,43,5,3,2,3245.0,0.553,1977.0,29,0,0.0
708682908,Existing Customer,28,2,2,1,904.0,0.873,8644.0,87,1,0.681
708684108,Attrited Customer,34,5,3,1,2706.0,0.826,2218.0,30,0,0.348
708687483,Attrited Customer,36,3,2,3,13626.0,0.411,1711.0,30,0,0.0
708688608,Existing Customer,48,5,3,1,1155.0,1.346,1626.0,41,1,0.632
708689958,Existing Customer,36,4,3,2,662.0,0.694,4748.0,88,1,0.725
708692583,Attrited Customer,31,3,3,3,1338.0,0.671,2312.0,44,0,0.112
708693558,Existing Customer,38,3,2,2,10402.0,0.634,7344.0,95,1,0.172
708694983,Existing Customer,36,1,2,1,928.0,0.794,14750.0,96,1,0.705
708697983,Existing Customer,49,2,2,2,32360.0,0.698,8766.0,78,1,0.062
708699108,Existing Customer,36,4,3,3,583.3,0.662,4890.0,53,1,0.594
708701358,Existing Customer,36,3,2,3,339.0,0.889,4000.0,79,1,0.857
708702258,Attrited Customer,36,3,2,2,3220.0,0.611,2051.0,31,1,0.129
708703308,Attrited Customer,26,6,4,4,338.0,0.577,2183.0,39,1,0.835
708704433,Existing Customer,23,6,3,4,714.0,1.248,2812.0,77,1,0.745
708705783,Attrited Customer,36,6,3,1,370.0,0.887,2628.0,41,1,0.766
708706833,Attrited Customer,36,4,3,3,2809.0,0.854,2466.0,40,1,0.0
708707808,Existing Customer,45,4,1,2,896.0,0.874,3438.0,66,1,0.639
708708858,Attrited Customer,36,1,3,4,1920.0,0.997,2548.0,46,0,0.207
708710283,Existing Customer,36,6,1,4,32478.0,1.007,4067.0,75,1,0.059
708711483,Existing Customer,46,2,3,0,17131.0,1.727,1516.0,21,2,0.092
708712833,Existing Customer,36,4,1,2,1252.0,0.504,4483.0,72,1,0.453
708714108,Existing Customer,31,5,2,3,10924.0,0.734,1894.0,49,1,0.187
708720558,Existing Customer,30,5,2,0,4489.0,0.693,3773.0,64,0,0.0
708721533,Existing Customer,36,2,1,2,4010.0,0.637,13113.0,128,1,0.223
708722583,Existing Customer,36,5,3,1,953.0,0.657,3024.0,64,1,0.635
708723858,Existing Customer,37,1,1,3,1698.0,0.812,3843.0,67,1,0.502
708724908,Existing Customer,35,4,2,3,2262.0,0.806,4113.0,83,1,0.0
708726708,Attrited Customer,36,6,2,3,852.0,0.752,2192.0,35,0,0.413
708727983,Existing Customer,36,6,1,3,3933.0,0.884,3048.0,54,1,0.0
708731658,Attrited Customer,41,3,3,4,1438.3,0.387,1587.0,42,0,0.0
708733983,Attrited Customer,36,6,3,2,2958.0,0.671,2122.0,46,0,0.447
708735183,Existing Customer,22,4,3,3,696.0,0.804,2289.0,49,0,0.726
708736608,Attrited Customer,27,5,3,2,2269.0,0.572,2108.0,39,1,0.0
708740808,Existing Customer,36,5,3,4,4112.0,0.777,2949.0,54,1,0.0
708741633,Existing Customer,44,6,3,4,4153.0,0.434,1771.0,41,0,0.0
708744933,Existing Customer,36,4,2,4,17247.0,0.788,1859.0,33,1,0.098
708745983,Existing Customer,36,4,2,2,649.0,0.51,4686.0,81,1,0.706
708747708,Existing Customer,33,4,1,2,3498.0,1.109,2512.0,56,1,0.0
708748833,Existing Customer,25,2,2,3,8636.0,0.939,8920.0,105,1,0.125
708753633,Existing Customer,32,2,1,1,1438.3,0.712,4462.0,77,1,0.0
708754833,Existing Customer,40,3,4,4,1645.0,0.902,4583.0,72,1,0.418
708757233,Existing Customer,32,4,2,3,996.0,0.779,3697.0,77,1,0.599
708758658,Existing Customer,39,5,1,1,33973.0,0.745,3951.0,76,1,0.016
708759408,Existing Customer,39,6,3,2,4207.0,0.923,15124.0,108,1,0.0
708760458,Existing Customer,36,4,3,4,17655.0,0.583,3692.0,79,1,0.0
708761733,Existing Customer,36,2,2,2,6697.0,0.76,4419.0,63,1,0.191
708765933,Existing Customer,36,3,2,2,4577.0,0.554,4866.0,81,1,0.162
708768258,Existing Customer,43,6,1,2,989.0,0.715,4678.0,91,1,0.521
708770883,Existing Customer,24,2,2,2,15204.0,0.803,15301.0,115,1,0.088
708772308,Existing Customer,24,4,3,3,2463.0,0.561,1455.0,35,1,0.402
708773583,Existing Customer,45,5,2,0,9149.0,0.974,3987.0,64,1,0.157
708774708,Existing Customer,29,6,1,3,1047.0,0.864,3858.0,70,1,0.603
708776658,Existing Customer,43,6,3,2,4255.0,0.458,4444.0,70,1,0.263
708780783,Existing Customer,33,4,3,3,1265.0,0.689,4739.0,76,1,0.48
708784083,Existing Customer,36,5,2,1,1135.0,0.852,4307.0,83,1,0.583
708784908,Existing Customer,34,5,1,4,16025.0,0.89,4435.0,88,1,0.113
708788583,Attrited Customer,56,3,1,2,6167.0,0.422,1648.0,43,1,0.0
